1,"Scotch-Brite 2-in-1 Bucket Spin Mop (Green, 2 Refills), 4 Pcs",B07LDKFM2Y,"1,089","1,800",  #9 in Home Improvement (See Top 100 in Home Improvement)  #2 in Household Bucket Mops   
2,Scotch-Brite Supreme Spin Mop (2N Microfiber Refills),B089Z7K5F3,"1,699","2,399","  #1,463 in Home Improvement (See Top 100 in Home Improvement)  #60 in Household Bucket Mops   "
3,"Scotch-Brite No-Dust Broom, Long handle, Easy floor cleaning (Multi-use)",B07LC7LF9Y,289,375,  #18 in Home Improvement (See Top 100 in Home Improvement)  #1 in Brooms (Home Improvement)   
4,"Scotch-Brite Multi-purpose Microfiber Flat Mop with 1 extra refill for Dry & Wet Cleaning, 360 degree Rotating head and Telescopic handle, suitable for Floor, Glass, Ceiling and Walls (Green)",B00NQ03WR4,"1,399","1,848",  #198 in Home Improvement (See Top 100 in Home Improvement)  #4 in Household Wet & Dry Mops   
5,Scotch-Brite Jumper Spin Mop with Round Refill Heads,B00T425GKY,"1,899","3,850","  #6,272 in Home Improvement (See Top 100 in Home Improvement)  #167 in Household Bucket Mops   "
6,Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green),B00NBM3IE4,375,450,  #13 in Home Improvement (See Top 100 in Home Improvement)  #1 in Squeegees   
7,"Scotch-Brite Plastic No Dust Broom Hard_Floor Refill Head without Handle (This Product Does Not Contain A Handle, Only Refill Suitable to Be Used with Broom), Ash",B0C82497NH,215,250,  #283 in Home Improvement (See Top 100 in Home Improvement)  #10 in Brooms (Home Improvement)   
8,Scotch-Brite Bathroom Squeegee Plastic Wiper with telescopic handle (30 cm),B07WVZY442,440,550,"  #1,076 in Home Improvement (See Top 100 in Home Improvement)  #20 in Squeegees   "
9,Scotch-Brite Bathroom Squeegee Wiper- Pack of 2,B07MLQQCZQ,730,900,  #417 in Home Improvement (See Top 100 in Home Improvement)  #10 in Squeegees   
10,Scotch-Brite Butterfly Plastic Mop and Refill Combo (Green),B00NBM2YNA,"1,629","2,000","  #1,043 in Home Improvement (See Top 100 in Home Improvement)  #20 in Household Wet & Dry Mops   "
11,Scotch-Brite Plastic Floor Squeegee Wiper -with telescopic handle (Green/Silver),B00NBM3EH0,440,525,  #136 in Home Improvement (See Top 100 in Home Improvement)  #5 in Squeegees   
12,Scotch-Brite Jumper Spin Mop compact one Bucket Mop,B00T425C9E,"2,199","4,200","  #1,217 in Home Improvement (See Top 100 in Home Improvement)  #55 in Household Bucket Mops   "
13,Scotch-Brite Plastic Scotch Brite Telescopic Handle Cotton Mop with Looped Cotton Threads,B07WTWDHPN,525,600,"  #2,840 in Home Improvement (See Top 100 in Home Improvement)  #50 in Household Wet & Dry Mops   "
14,"Scotch-Brite Plastic Handle Cotton Mop Refill, 1 Piece",B00NBM2ONU,270,300,  #599 in Home Improvement (See Top 100 in Home Improvement)  #19 in Household Mop Accessories   
15,"Scotch-Brite Fibre Broom (Green) - Pack of 2, Plastic, Hard_Floor",B07R8KGMJX,695,750,"  #25,250 in Home Improvement (See Top 100 in Home Improvement)  #414 in Brooms (Home Improvement)   "
16,Scotch-Brite Plastic Spin Mop Head and Handle (Suitable for Scotch-Brite 2 in 1 Spin Mop Only),B0BNV1FHVB,599,675,  #38 in Home Improvement (See Top 100 in Home Improvement)  #6 in Household Bucket Mops   
17,"Scotch-Brite 2-in-1 Bucket Spin Mop Refill ( Microfiber, White )",B08BK7WKK5,269,299,  #203 in Home Improvement (See Top 100 in Home Improvement)  #17 in Household Bucket Mops   
